shreesamarth,
8900000429981,1
8900000429950,1
8900000450497,1
8900000450459,1
8900000450442,1
8900000450619,1
8900000450602,1
8900000450633,1
8900000409303,1
8900000409747,1
8900000409709,1
8900000415304,0
8900000409266,0
8900000409273,0
8900000409242,0
8900000409235,0
8900000409228,0
8900000453290,1
8900000453276,1
8900000453283,1
8900000427635,1
8900000408924,0
8900000408900,0
8900000408955,0
8900000408917,0
8900000411078,0
8900000437580,0
8900000437603,1
8900000437597,0
8900000437627,1
8900000437566,1
8900000413058,1
8900000412983,1
8900000413027,1
8900000412990,0
8900000413041,1
8900000411191,0
8900000411184,0
8900000453948,1
8900000453900,1
8900000453924,1
8900000456376,1
8900000456338,1
8900000453504,1
8900000453511,1
8900000453542,1
8900000453573,1
8900000446759,1
8900000446766,1
8900000446797,1
8900000409037,0
8900000408993,1
8900000409006,1
8900000409044,0
8900000409051,1
8900000409020,0
8900000408986,0
8900000421558,1
8900000421589,0
8900000421565,1
8900000421541,0
8900000421534,0
8900000421572,0
8900000421855,0
8900000436958,1
8900000436927,1
8900000436965,1
8900000436941,1
8900000425952,0
8900000440665,1
8900000440658,1
8900000440719,1
8900000440641,1
8900000440696,1
8900000440689,1
8900000440702,1
8900000455379,1
8900000455447,1
8900000455416,1
8900000455935,1
8900000455942,1
8900000450381,1
8900000450367,1
8900000450374,1
8900000450398,1
8902001600116,1
8902001600093,1
8902001600079,1
8902001600109,1
8902001600147,1
8900000437511,0
8902001600086,1
0010070012334,1
0010070012330,1
8902001600130,1
8902001600123,1
8900000437504,1
8900000437726,1
8900000408368,0
8900000437733,1
8900000408344,0
8900000437771,1
8900000437740,1
8900000437757,1
8900000437764,1
8900000437795,1
8900000414017,1
8900000414024,0
8900000414031,0
8900000413980,0
8900000414000,1
8900000414048,1
8900000413973,0
8900000413997,0
0010070012295,1
8900000409815,1
8900000409808,1
8900000409792,1
8900000409785,0
8900000409839,1
8900000421145,1
8900000421176,0
8900000421138,0
8900000421121,0
8900000421169,0
8900000420087,0
8900000420117,1
8900000420070,0
8900000420100,1
8900000420148,1
8900000420131,0
8900000420094,1
8900000430123,1
8900000421718,1
8900000421732,1
8900000421725,1
8900000421763,1
8900000421695,0
8900000421701,1
8900000412747,0
8900000412754,0
8900000412761,0
8900000422487,0
8900000418640,1
8900000408504,0
8900000419913,0
8900000419944,1
8900000419937,1
8902001623955,1
8900000419975,1
8900000422975,1
8900000422920,0
8900000408597,0
8900000408580,0
8900000409136,1
8900000409068,0
8900000409082,1
8902001651538,1
8900000421770,0
8900000454938,1
8900000454976,1
8900000408863,0
8900000408870,0
8900000408825,0
8900000408832,0
8900000408887,0
8900000408856,1
8900000408849,0
8900000408894,1
8900000434503,1
8900000434558,1
8900000437238,1
8900000437184,1
8900000437214,1
8900000437177,1
8900000437160,0
8900000437191,0
8900000437221,1
8900000408191,0
8900000408207,1
8900000408221,1
8900000408184,0
8900000408214,1
8900000408245,1
8900000408047,0
8900000408030,0
8900000415717,1
8900000415724,1
8900000415663,0
8900000415687,1
8900000415670,1
8900000415700,1
8900000453863,1
8900000453870,1
8900000453856,1
8900000453832,1
8900000452040,1
8900000452057,1
8900000452002,1
8900000451999,1
8900000451982,1
8900000452026,1
8900000452033,1
8900000408665,0
8900000408672,0
8900000426676,0
8900000409471,0
8900000409464,0
8900000419753,0
8900000419791,1
8900000419760,1
8900000418046,1
8900000419807,1
8900000421473,0
8900000421466,0
8900000421459,0
8900000439904,1
8900000409686,1
8900000409624,0
8900000409693,1
8900000409631,0
8900000409648,1
8900000453740,1
8900000453764,1
8900000453801,1
8900000453757,1
8900000453788,1
8900000453771,1
8900000453795,1
8900000440115,1
8900000440092,1
8900000440139,1
8900000440085,1
8900000440108,1
8900000420247,0
8900000420254,0
8900000420292,1
8900000420230,0
8900000440726,1
8900000441600,1
8900000441617,1
8900000426287,1
8900000440955,1
8900000440948,1
8900000440894,1
8900000440931,1
8900000440887,1
8900000440924,1
8900000440900,1
8900000451821,1
8900000451869,1
8900000451883,1
8900000451876,1
8900000451890,1
8900000452989,1
8900000453009,1
8900000452996,1
8900000452965,1
8900000439935,1
8900000452323,1
8900000452354,1
8900000452309,1
8900000452361,1
8900000425716,1
8900000425785,1
8900000425754,1
8900000453023,1
8900000453061,1
8900000440016,1
8900000440030,1
8900000440023,1
8900000440009,1
8900000453481,1
8900000453474,1
8900000453429,1
8900000453436,1
8900000455263,1
8900000455256,1
8900000455249,1
8900000422326,0
8900000435906,1
8900000435883,0
8900000435913,1
8900000435890,1
8900000426423,1
8900000426355,0
8900000438594,1
8900000438570,1
8900000438563,1
8900000441013,1
8900000440993,1
8900000440962,1
8900000441006,1
8900000456413,1
8900000456420,1
8900000409389,0
8900000435340,1
8900000435333,1
8900000435326,1
8900000439539,1
8900000439584,1
8900000439577,1
8900000439553,1
8900000439591,1
8900000415489,1
8900000415472,1
8900000415434,0
8900000415441,0
8900000415458,1
8900000415496,1
8900000415427,1
8900000409570,1
8900000409556,0
8900000409549,0
8900000409600,0
8900000409587,0
8900000409594,0
8900000409617,1
8900000409563,1
8900000418909,1
8900000418862,0
8900000418879,1
8900000418886,1
8900000418930,1
8900000418893,1
8900000418923,1
8900000414116,0
8900000414062,0
8900000414123,0
8900000414079,0
8900000414055,0
8900000414086,1
8900000414109,0
8900000414093,0
8900000431861,1
8900000431816,1
8900000431847,1
8900000431823,1
8900000431830,1
8900000431854,1
8900000431793,1
8900000436668,0
8900000436675,1
8900000436620,0
8900000436613,1
8900000436361,1
8900000407996,1
8900000407989,1
8900000408016,1
8900000407958,0
8900000407972,0
8900000407965,0
8900000408306,1
8900000408269,0
8900000408283,0
8900000408320,0
8900000408276,0
8900000452187,1
8900000452163,1
8900000452170,1
8900000417698,1
8900000431892,1
8900000431922,1
8900000431878,1
8900000431915,1
8900000431885,1
8900000445097,1
8900000445134,1
8900000449866,1
8900000449873,1
8900000449859,1
8900000449842,1
8900000410842,0
8900000410828,0
8900000410835,0
8900000410859,1
8900000410996,0
8900000411009,0
8900000411047,1
8900000410989,0
8900000411030,1
8900000411016,1
8900000410903,1
8900000411344,1
8900000445073,1
8900000445042,1
8900000445028,1
8900000445066,1
8900000426669,1
8900000426638,1
8900000426652,1
8900000426591,1
8900000426621,1
8900000426645,1
8900000426614,1
8900000437665,1
8900000437672,1
8900000437689,1
8900000437719,1
8900000437658,1
8900000418565,0
8900000418589,0
8900000414666,1
8900000414628,0
8900000414635,0
8900000414598,0
8900000445646,1
8900000445615,1
8900000445592,1
8900000445608,1
8900000445585,1
8900000445578,1
8900000449071,1
8900000449064,1
8900000449118,1
8900000450008,1
8900000450022,1
8900000449989,1
8900000449996,1
8900000447053,1
8900000447060,1
8900000447084,1
8900000447091,1
8900000447114,1
8900000447077,1
8900000447107,1
8900000447046,1
8900000442744,1
8900000442751,1
8900000442737,1
8900000442799,1
8900000442782,1
8900000442720,1
8900000442768,1
8900000442775,1
8900000433568,1
8900000433544,1
8900000433513,1
8900000438006,1
8900000454679,1
8900000452101,1
8900000452125,1
8900000452118,1
8900000452071,1
8900000452095,1
8900000452088,1
8900000452064,1
8900000446919,1
8900000446902,1
8900000446889,1
8900000446896,1
8900000451753,1
8900000451746,1
8900000451777,1
8900000451760,1
8900000435258,1
8900000435241,1
8900000435265,1
8900000439690,1
8900000439683,1
8900000438884,1
8900000453108,1
8900000453177,1
8900000453122,1
8900000453139,1
8900000453115,1
8900000453160,1
8900000432004,0
8900000431977,0
8900000431991,0
8900000431960,0
8900000431953,0
8900000431984,1
8900000432011,0
8900000448234,1
8900000448227,1
8900000448203,1
8900000448272,1
8900000448210,1
8900000448265,1
8900000448258,1
8900000421930,0
8900000418329,0
8900000435821,1
8900000435845,1
8900000435814,1
8900000435876,1
8900000435807,0
8900000435869,1
8900000415748,0
8900000415762,0
8900000422166,0
8900000445189,1
8900000445196,1
8900000445172,1
8900000445202,1
8900000411689,1
8900000411627,1
8900000411634,1
8900000411641,1
8900000411580,0
8900000415380,0
8900000451524,1
8900000451500,1
8900000451517,1
8900000451555,1
8900000451579,1
8900000415298,1
8900000415236,0
8900000415243,0
8900000415229,1
8900000415250,1
8900000415281,1
8900000415267,1
8900000403974,0
8900000404445,0
8900000404421,0
8900000404452,0
8900000404438,0
8900000262953,1
8900000262946,1
8900000262922,1
8900000262939,1
8900000456178,1
8900000399895,0
8900000399901,0
8900000434039,0
8900000434022,0
8900000434046,1
8900000434015,0
8900000330409,1
8900000330393,1
8900000330416,1
8900000435166,0
8900000435197,0
8900000410217,1
8900000410194,1
8900000410200,0
8900000410187,0
8900000403189,0
8900000403196,0
8900000403219,0
8900000432882,1
8900000432912,1
8900000408757,0
8900000406593,0
8900000406586,0
8900000406609,0
8900000425365,0
8900000425358,0
8900000405855,0
8900000405831,0
8900000405848,0
8900000405893,1
8900000405886,0
8900000406753,0
8900000406746,0
8900000433209,1
8900000411788,0
8900000411818,0
8900000411801,0
8900000411795,0
8900000380961,1
8900000380954,1
8900000380947,1
8900000380992,1
8900000380978,1
8900000380985,1
8900000380930,1
8900000397099,0
8900000397112,0
8900000434749,1
8900000397136,0
8900000434732,1
8900000397082,0
8900000397129,0
8900000397075,0
8900000397143,0
8900000397105,0
8900000434725,1
8900000399833,1
8900000399819,1
8900000399888,1
8900000399857,1
8900000399840,1
8900000399864,0
8900000399826,1
8900000399871,1
8900000387533,0
8900000387496,0
8900000387526,0
8900000387472,1
8900000387489,0
8900000454211,1
8900000454259,1
8900000440221,1
8900000440191,1
8900000440238,1
8900000452873,1
8900000350971,1
8900000350964,1
8900000350995,1
8900000350933,1
8900000350988,1
8900000350940,1
8900000350926,1
8900000374397,1
8900000374373,1
8900000405381,0
8900000374359,1
8900000374403,1
8900000405435,0
8900000405442,1
8900000405398,0
8900000405428,0
8900000415991,0
8900000415984,0
8900000416011,0
8900000432806,1
8900000416073,0
8900000416080,0
8900000416066,0
8900000416097,0
8900000432646,1
8900000432639,1
8900000309375,1
8900000309351,0
8900000309344,0
8900000412679,0
8900000412693,0
8900000413829,0
8900000413812,0
8900000412594,0
8900000412587,0
8900000442997,1
8900000442980,1
8900000442966,1
8900000442973,1
8900000415199,0
8900000407064,1
8900000454051,1
8900000454075,1
8900000454082,1
8900000454068,1
8900000454204,1
8900000454181,1
8900000454198,1
8900000411146,0
8900000454174,1
8900000454020,1
8900000454044,1
8900000454013,1
8900000454037,1
8900000453986,1
8900000453993,1
8900000454006,1
8900000455096,1
8900000447770,1
8900000450817,1
8900000447763,1
8900000447794,1
8900000450787,1
8900000447787,1
8900000450800,1
8900000450794,1
8900000452422,1
8900000452439,1
8900000130610,1
8900000130566,1
8900000130597,1
8900000130542,1
8900000157563,1
8900000157532,1
8900000157549,1
8900000157556,1
8900000157525,0
8900000157518,1
8900000448982,1
8900000448975,1
8900000412365,0
8900000412372,1
8900000412358,0
8900000412341,0
8900000315369,1
8900000398317,0
8900000398324,0
8900000397938,0
8900000397969,0
8900000397914,0
8900000397921,0
8900000400126,0
8900000400133,0
8900000400171,0
8900000400140,0
8900000315420,1
8900000315383,1
8900000315413,1
8900000315444,1
8900000315390,1
8900000315406,1
8900000371075,1
8900000371099,1
8900000371082,1
8900000371068,0
8900000404964,0
8900000404988,0
8900000404971,0
8900000405015,0
8900000405152,0
8900000405145,0
8900000405169,0
8900000365500,1
8900000365494,1
8900000365517,1
8900000414192,0
8900000414130,0
8900000414154,0
8900000414147,0
8900000406951,0
8900000406968,0
8900000406944,0
8900000407101,0
8900000407125,0
8900000406715,0
8900000406708,0
8900000406722,0
8900000406661,0
8900000406685,0
8900000406678,0
8900000405817,1
8900000405794,0
8900000405824,1
8900000405800,0
8900000405770,0
8900000405763,0
8900000448296,1
8900000448319,1
8900000448302,1
8900000448289,1
8900000319398,0
8900000319381,0
8900000319404,1
8900000434213,1
8900000434206,1
8900000434404,1
8900000434411,1
8900000434428,1
8900000434435,1
8900000335985,1
8900000335961,1
8900000335978,1
8900000336012,1
8900000335992,1
8900000336036,1
8900000336029,1
8900000336005,1
8900000399666,0
8900000399659,0
8900000399703,0
8900000399673,0
8900000386185,0
8900000386130,0
8900000386192,0
8900000386154,0
8900000386147,0
8900000384938,0
8900000384945,0
8900000384921,0
8900000373109,1
8900000373086,1
8900000373116,1
8900000373123,1
8900000396979,0
8900000396962,0
8900000400805,1
8900000388097,0
8900000388080,0
8900000388073,0
8900000388042,0
8900000387991,0
8900000388011,0
8900000388004,0
8900000388578,0
8900000388561,0
8900000388554,0
8900000387892,0
8900000400898,0
8900000400904,0
8900000400911,0
8900000399062,0
8900000399024,0
8900000399017,0
8900000399079,0
8900000399055,0
8900000399031,0
8900000400225,0
8900000400218,0
8900000400263,0
8900000400201,0
8900000400256,0
8900000413478,1
8900000377831,1
8902001923321,1
8902001922089,1
8902001922096,1
8900000408429,0
8900000407767,0
8900000407774,0
8900000407712,0
8900000407729,0
8900000407736,0
8900000400867,0
8900000400836,0
8900000400850,0
8900000400812,0
8900000400829,0
8900000400874,0
8900000407811,0
8900000407828,1
8900000407804,0
8900000407859,0
8900000407798,0
8900000407835,1
8900000407842,1
8900000407866,1
8900000436767,1
8900000436828,1
8900000436811,1
8900000436781,1
8900000436774,1
8900000436835,1
8900000436804,1
8900000436798,1
8900000392612,0
8900000392636,0
8900000392599,0
8900000392643,1
8900000392650,0
8900000392629,0
8900000392605,0
8900000392667,0
8900000394128,0
8900000394135,0
8900000394104,0
8900000394166,0
8900000394173,0
8900000394111,0
8900000394142,0
8900000394159,0
8900000390199,0
8900000387014,0
8900000387076,0
8900000387069,0
8900000387038,0
8900000387021,0
8900000395590,0
8900000395583,0
8900000395576,0
8900000395569,0
8900000394661,0
8900000394678,0
8900000394715,0
8900000394685,0
8900000394708,0
8900000406111,0
8900000406104,0
8900000406098,0
8900000406081,0
8900000406128,0
8900000406067,0
8900000406074,0
8900000394791,0
8900000394807,0
8900000394746,0
8900000394753,0
8900000394777,0
8900000394760,0
8900000394784,0
8900000394456,0
8900000394487,0
8900000394449,0
8900000394463,0
8900000394432,0
8900000394494,0
8900000394470,0
8900000386895,0
8900000386901,0
8900000386871,0
8900000386918,0
8900000386864,0
8900000386857,0
8900000386796,0
8900000386833,0
8900000386789,0
8900000386772,0
8900000386994,0
8900000386949,0
8900000386932,0
8900000386963,0
8900000386987,0
8900000386956,0
8900000396368,0
8900000396313,0
8900000396306,0
8900000396351,0
8900000396320,0
8900000396238,0
8900000396283,0
8900000396221,0
8900000396245,0
8900000395460,0
8900000395415,0
8900000388486,0
8900000388479,0
8900000387977,0
8900000389438,0
8900000389421,0
8900000388332,0
8900000388325,0
8900000388318,0
8900000389094,0
8900000389117,0
8900000389100,0
8900000389155,0
8900000389032,0
8900000389018,0
8900000389025,0
8900000388233,0
8900000389278,0
8900000389261,0
8900000389254,0
8900000389346,0
8900000388417,0
8900000388394,0
8900000388455,0
8900000397846,0
8900000398287,0
8900000399789,0
8900000399802,1
8900000399772,0
8900000397884,0
8900000399185,0
8900000405046,1
8900000401079,0
8900000401086,0
8900000401062,0
8900000402083,0
8900000402090,0
8900000401840,0
8900000402588,0
8900000402540,0
8900000414369,0
8900000414376,0
8900000414352,0
8900000402205,0
8900000402267,0
8900000398256,0
8900000398218,0
8900000398195,0
8900000398201,0
8900000399369,0
8900000399406,0
8900000399352,0
8900000399376,0
8900000396870,0
8900000396887,0
8900000396832,0
8900000396849,0
8900000396825,0
8900000396757,0
8900000396795,0
8900000396740,0
8900000398126,0
8900000398119,0
8900000398171,0
8900000393626,0
8900000393671,0
8900000393640,0
8900000393657,0
8900000393664,0
8900000393688,0
8900000393633,0
8900000393695,0
8900000401246,0
8900000401208,0
8900000401185,0
8900000401192,0
8900000402069,0
8900000402014,0
8900000402021,0
8900000402007,0
8900000402298,0
8900000384150,0
8900000384488,0
8900000386055,0
8900000383139,1
8900000383160,1
8900000383122,1
8900000383115,1
8900000383108,1
8900000383993,0
8900000384013,0
8900000384020,0
8900000384006,0
8900000384815,0
8900000384822,0
8900000381753,1
8900000381715,0
8900000356072,1
8900000384549,0
8900000384525,0
8900000384518,0
8900000385188,0
8900000415168,0
8900000385140,1
8900000385157,0
8900000383566,0
8900000383573,0
8900000382347,0
8900000382354,0
8900000382361,0
8900000323456,1
8900000323395,1
8900000323418,1
8900000413119,1
8900000413072,1
8900000413096,1
8900000413065,0
8900000413102,1
8900000382910,0
8900000382927,0
8900000382248,0
8900000398485,0
8900000398546,1
8900000398508,0
8900000398478,0
8900000398492,0
8900000398522,0
8900000398515,0
8900000432110,0
8900000384785,0
8900000384754,0
8900000384792,0
8900000384730,0
8900000384747,0
8900000385430,0
8900000385393,0
8900000385409,0
8900000385447,0
8900000385386,0
8900000385829,0
8900000385805,0
8900000385812,0
8900000385867,0
8900000383849,0
8900000383825,0
8900000383832,0
8900000384853,0
8900000384907,0
8900000384860,0
8900000384846,0
8900000382477,0
8900000382446,0
8900000382439,0
8900000382422,0
8900000381791,0
8900000381814,0
8900000381807,0
8900000381845,0
8900000382262,0
8900000382286,0
8900000382279,0
8900000382798,0
8900000386291,0
8900000386314,0
8900000386345,0
8900000386307,0
8900000386352,0
8900000247448,1
8900000247431,1
8900000247455,1
8900000456024,1
